adr,corres
77,49
55,5798
66,7950
77,65
55,5766
66,7317
77,50
55,5701
66,7791
77,58
55,5160
66,7320
77,49
55,5432
66,7405
77,69
55,6028
66,7005
77,74
55,5306
66,7272
77,48
55,5823
66,7031
77,86
55,6370
66,6943
77,50
55,6388
66,7609
77,48
55,6348
66,6979
77,94
55,5998
66,7340
77,61
55,6410
66,7510
77,60
55,6111
66,7503
77,55
55,6376
66,7356
77,88
55,6265
66,7562
77,65
55,5826
66,7426
77,97
55,6087
66,7445
77,50
55,6532
66,7339
77,74
55,6190
66,7649
77,57
55,6045
66,7323
77,86
55,6632
66,7503
77,59
55,5872
66,7846
77,75
55,5568
66,7581
77,52
55,6744
66,7398
77,71
55,7464
66,6907
77,49
55,7201
66,7150
77,73
55,7175
66,7356
77,49
55,4218
66,8975
77,49
55,4097
66,11869
77,74
55,4401
66,7269
77,49
55,3712
66,9090
77,50
55,6775
66,4948
77,67
55,5079
66,7101
77,57
55,8173
66,9321
77,56
55,6790
66,9122
77,48
55,4920
66,5694
77,126
55,4660
66,4830
77,101
55,5854
66,9640
77,67
55,4809
66,6476
77,96
55,5055
66,7853
77,79
55,8023
66,7488
77,59
55,4806
66,5217
77,136
55,5774
66,8067
77,242
55,7381
66,6687
77,69
55,5278
66,5914
77,367
55,5812
66,6489
77,87
55,7588
66,7236
77,59
55,5627
66,7234
77,110
55,6151
66,6017
77,290
55,6852
66,7536
77,171
55,5398
66,5820
77,60
55,6565
66,7775
77,95
55,6413
66,7041
77,592
55,5350
66,5929
77,88
55,7081
66,2493
77,396
55,5042
66,5732
77,326
55,6388
66,5392
77,238
55,6348
66,5009
77,1136
55,4880
66,8383
77,1426
55,6864
66,6433
77,577
55,5688
66,6995
77,3256
55,4781
66,7442
77,2090
55,5849
66,7523
77,454
55,5508
66,6354
77,399
66,5215
77,510
55,6923
66,8359
77,333
55,6559
66,7490
77,601
55,5719
66,7846
77,1070
55,7023
66,7116
77,594
55,4455
66,5621
77,776
55,6704
66,5531
77,669
55,5273
66,3534
